songName,amp1mean,amp1std,amp1skew,amp1kurt,amp1dmean,amp1dstd,amp1dskew,amp1dkurt,amp10mean,amp10std,amp10skew,amp10kurt,amp10dmean,amp10dstd,amp10dskew,amp10dkurt,amp100mean,amp100std,amp100skew,amp100kurt,amp100dmean,amp100dstd,amp100dskew,amp100dkurt,amp1000mean,amp1000std,amp1000skew,amp1000kurt,amp1000dmean,amp1000dstd,amp1000dskew,amp1000dkurt,power1,power2,Power3,power4,power5,power6,power7,power8,power9,power10
RH-AYE HO MERI ZINDGI copy.mp3,821.33151333333331,8668.0190434164615,0.0011363194942287341,3.3753061082227265,0.022583370972284952,6607.2011028957832,-0.011488645504771969,4.5031039257516685,821.33151333333501,4037.2985260746245,-0.014098050108075211,4.1838538670205301,-0.056194269904495407,6571.8387437462252,0.011798618355298772,4.2080839805119226,821.33151333333478,465.8116750948933,-0.021335229088512996,4.7710273645126096,0.1293282213702279,769.40049723410584,0.045312285814235971,4.981382929860426,821.33151333333365,52.249538141210635,-0.36601778389829009,5.0320785814548978,0.36654090150250418,85.866973066271868,-0.01202780366575428,4.5209969046491087,0.18376547020084,0.19205432569664901,0.20458669858892126,0.12676566491061919,0.065273005394003145,0.069079474008347297,0.049620693544174574,0.044327195067561644,0.037863383064025459,0.026664089524850918
RH-AYE HO MERI ZINDGI.mp3,821.33151333333331,8668.0190434164615,0.0011363194942287341,3.3753061082227265,0.022583370972284952,6607.2011028957832,-0.011488645504771969,4.5031039257516685,821.33151333333501,4037.2985260746245,-0.014098050108075211,4.1838538670205301,-0.056194269904495407,6571.8387437462252,0.011798618355298772,4.2080839805119226,821.33151333333478,465.8116750948933,-0.021335229088512996,4.7710273645126096,0.1293282213702279,769.40049723410584,0.045312285814235971,4.981382929860426,821.33151333333365,52.249538141210635,-0.36601778389829009,5.0320785814548978,0.36654090150250418,85.866973066271868,-0.01202780366575428,4.5209969046491087,0.18376547020084,0.19205432569664901,0.20458669858892126,0.12676566491061919,0.065273005394003145,0.069079474008347297,0.049620693544174574,0.044327195067561644,0.037863383064025459,0.026664089524850918
RH-KINA SONA TENU RAB copy.mp3,851.52754166666671,5370.1628460236016,-0.37508345238788648,5.5319463854796229,-0.0080800134666891114,4104.1418342935476,-0.056852080852516237,7.3353960092997488,851.52754166667512,2616.5726418044119,-0.57962067133235606,6.2456832487324636,0.019678661311020775,3926.1799393123633,-0.084713308575279853,5.9767518592685578,851.52754166666648,254.58867135107675,-0.11851189848973243,10.242346854196876,0.12278879813302201,412.44610977571165,-0.16936210464046336,10.39967230860603,851.52754166666637,33.037623601962203,-1.0037049380022316,14.424533780267129,0.53444908180300499,52.192417885214262,-0.15467458158012148,9.8821743893290925,0.17558092225059357,0.17467492963547793,0.22343410838593858,0.13234619333770903,0.071284931787997954,0.072148700701386057,0.062250544742705013,0.045429689989960997,0.021534700470194623,0.021315278698027719
RH-KINA SONA TENU RAB.mp3,851.52754166666671,5370.1628460236016,-0.37508345238788648,5.5319463854796229,-0.0080800134666891114,4104.1418342935476,-0.056852080852516237,7.3353960092997488,851.52754166667512,2616.5726418044119,-0.57962067133235606,6.2456832487324636,0.019678661311020775,3926.1799393123633,-0.084713308575279853,5.9767518592685578,851.52754166666648,254.58867135107675,-0.11851189848973243,10.242346854196876,0.12278879813302201,412.44610977571165,-0.16936210464046336,10.39967230860603,851.52754166666637,33.037623601962203,-1.0037049380022316,14.424533780267129,0.53444908180300499,52.192417885214262,-0.15467458158012148,9.8821743893290925,0.17558092225059357,0.17467492963547793,0.22343410838593858,0.13234619333770903,0.071284931787997954,0.072148700701386057,0.062250544742705013,0.045429689989960997,0.021534700470194623,0.021315278698027719
RH-PARDESI-2 copy.mp3,826.74785499999996,6894.8701953589743,-0.046987067066596194,4.1781222138584901,0.010900018166696945,7224.7426816382176,-0.031037964149150193,5.594787222806997,826.74785500001451,2899.4622270128693,-0.033257865261701318,5.6621498056007296,-0.016355272587876748,3843.2719675938065,0.028783548667507031,5.4464095588700348,826.74785500000075,390.0752937188102,-0.19943612737068095,8.63725012625126,0.098159693282213856,647.5114146723879,0.031433039295232522,10.479168434555353,826.74785500000041,51.343532190211732,-0.54893294631591716,6.0710264489986363,0.43549916527545918,83.286274273256552,0.15951485837780272,5.4869331011809361,0.13358048406751558,0.15452338729832429,0.12686881855193483,0.13725342431423171,0.10507617000915297,0.096058985400214111,0.080862332128901968,0.061281795171539748,0.056226115193862149,0.048268487864316943
RH-PARDESI-2.mp3,826.74785499999996,6894.8701953589743,-0.046987067066596194,4.1781222138584901,0.010900018166696945,7224.7426816382176,-0.031037964149150193,5.594787222806997,826.74785500001451,2899.4622270128693,-0.033257865261701318,5.6621498056007296,-0.016355272587876748,3843.2719675938065,0.028783548667507031,5.4464095588700348,826.74785500000075,390.0752937188102,-0.19943612737068095,8.63725012625126,0.098159693282213856,647.5114146723879,0.031433039295232522,10.479168434555353,826.74785500000041,51.343532190211732,-0.54893294631591716,6.0710264489986363,0.43549916527545918,83.286274273256552,0.15951485837780272,5.4869331011809361,0.13358048406751558,0.15452338729832429,0.12686881855193483,0.13725342431423171,0.10507617000915297,0.096058985400214111,0.080862332128901968,0.061281795171539748,0.056226115193862149,0.048268487864316943
RH-POOCHHO ZARA POOCHHO copy.mp3,825.97195333333332,6592.2437567998222,0.13226206540377752,5.5983300764635935,0.032993388322313869,7199.2398903335152,0.018554773127580446,6.281936610763414,825.97195333333264,2064.6874045544314,-0.078973018104878265,8.0153630505795981,0.050040834013902198,3295.1435320199503,-0.001891925692658319,6.5437753393064133,825.97195333333389,229.24648881706145,-0.11725514598044851,14.313742206531749,0.12597099516586083,380.16855899095674,0.064352839457340508,14.817259088678822,825.97195333333309,35.298986272098851,-1.3547110322759837,16.325200816713465,0.38652420701168616,55.911639294754259,1.1903004643804196,15.524421449514975,0.09652716575140291,0.13088845986634659,0.15253382734481996,0.15350991596868868,0.11969180591879726,0.098479189785243573,0.081367977353806895,0.065134979792512981,0.051595817607472109,0.050270860610920516
RH-POOCHHO ZARA POOCHHO.mp3,825.97195333333332,6592.2437567998222,0.13226206540377752,5.5983300764635935,0.032993388322313869,7199.2398903335152,0.018554773127580446,6.281936610763414,825.97195333333264,2064.6874045544314,-0.078973018104878265,8.0153630505795981,0.050040834013902198,3295.1435320199503,-0.001891925692658319,6.5437753393064133,825.97195333333389,229.24648881706145,-0.11725514598044851,14.313742206531749,0.12597099516586083,380.16855899095674,0.064352839457340508,14.817259088678822,825.97195333333309,35.298986272098851,-1.3547110322759837,16.325200816713465,0.38652420701168616,55.911639294754259,1.1903004643804196,15.524421449514975,0.09652716575140291,0.13088845986634659,0.15253382734481996,0.15350991596868868,0.11969180591879726,0.098479189785243573,0.081367977353806895,0.065134979792512981,0.051595817607472109,0.050270860610920516
Rhythms Of Mohabbatein copy.mp3,45.746398333333332,1824.8159888550699,0.22581996772737686,9.3493964841067783,-0.00020500034166723611,1395.7731998190122,-0.052125051365040739,27.262539296723954,45.746398333332913,1415.9036700880129,0.13587687851091074,12.694532354140117,-0.0058484308071799981,1078.1277669623978,-0.18818724198213671,15.266079253237747,45.746398333333296,336.71755693153938,0.13680196625109733,14.955321586654627,0.029138189698282944,556.84594378687245,0.0068048441628452286,14.234426274087854,45.746398333333367,41.671800077266433,-0.20089302922193678,10.679505360705667,0.088519198664440621,70.902163581610608,0.014537116129258209,10.902041548726409,0.29881544411115707,0.14056886486092937,0.071088832871655683,0.06532136464129612,0.05366057581827556,0.038082532755424468,0.039112648810930753,0.054023096858485539,0.14958285686003844,0.089743782411830231
Rhythms Of Mohabbatein.mp3,45.746398333333332,1824.8159888550699,0.22581996772737686,9.3493964841067783,-0.00020500034166723611,1395.7731998190122,-0.052125051365040739,27.262539296723954,45.746398333332913,1415.9036700880129,0.13587687851091074,12.694532354140117,-0.0058484308071799981,1078.1277669623978,-0.18818724198213671,15.266079253237747,45.746398333333296,336.71755693153938,0.13680196625109733,14.955321586654627,0.029138189698282944,556.84594378687245,0.0068048441628452286,14.234426274087854,45.746398333333367,41.671800077266433,-0.20089302922193678,10.679505360705667,0.088519198664440621,70.902163581610608,0.014537116129258209,10.902041548726409,0.29881544411115707,0.14056886486092937,0.071088832871655683,0.06532136464129612,0.05366057581827556,0.038082532755424468,0.039112648810930753,0.054023096858485539,0.14958285686003844,0.089743782411830231
